SampleID	Weight11ClusterDysbio	ReRefNeighbor11ClusterDysbio	Neighbor11ClusterDysbio	unNeighborClusters	SimpleID
SRR1185478.fastq.gz	1	1	1	1	D1
SRR1185485.fastq.gz	2	unClustered	1	1	D2
SRR1185495.fastq.gz	3	3	3	3	D3
SRR1010372	3	3	3	3	D4
SRR1010374	4	unClustered	4	unClustered	D5
SRR1010381	4	4	4	4	D6
SRR1010384	4	4	4	4	D7
SRR1010397	4	4	4	4	D8
SRR1010399	3	unClustered	4	4	D9
SRR1010402	4	4	4	4	D10
SRR1010404	5	unClustered	6	6	D11
SRR1010406	5	unClustered	6	6	D12
SRR1010408	4	4	4	4	D13
SRR1010410	6	6	6	6	D14
SRR1010412	4	4	4	4	D15
SRR1010418	4	4	4	4	D16
SRR515303	5	unClustered	5	5	D17
SRR515350	5	unClustered	5	5	D18
SRR1169796	1	1	1	1	D19
SRR1169799	7	7	7	7	D20
SRR1169801	2	unClustered	1	1	D21
SRR1169803	2	unClustered	2	unClustered	D22
SRR1169805	1	1	1	1	D23
SRR1169808	1	1	1	1	D24
SRR1169811	5	unClustered	3	unClustered	D25
SRR1169814	5	unClustered	5	5	D26
SRR1169818	3	unClustered	3	unClustered	D27
SRR1169821	5	unClustered	5	5	D28
SRR1169824	2	2	2	2	D29
SRR1169827	3	unClustered	2	2	D30
SRR1169830	1	1	1	1	D31
FMT.001.1	3	unClustered	2	2	D32
FMT.002.1	2	2	2	2	D33
FMT.003.1	6	6	6	6	D34
FMT.004.1	1	1	1	1	D35
FMT.005.1	3	unClustered	3	3	D36
FMT.007.1	1	1	1	1	D37
FMT.009.1	5	unClustered	10	unClustered	D38
FMT.011.1	8	8	8	8	D39
FMT.014.1	1	1	1	1	D40
FMT.015.1	1	1	1	1	D41
FMT.017.1	1	1	1	1	D42
FMT.018.1	3	3	3	unClustered	D43
FMT.023.1	1	1	1	1	D44
FMT.024.1	2	2	2	2	D45
FMT.025.1	1	1	1	1	D46
FMT.027.1	2	unClustered	2	2	D47
SRR3214678	9	unClustered	9	9	D48
SRR3214680	3	unClustered	3	unClustered	D49
SRR3214684	7	unClustered	3	3	D50
SRR3214690	7	7	7	7	D51
SRR3214694	9	9	9	9	D52
SRR3285803	10	10	10	10	D53
SRR3201875	8	8	8	8	D54
SRR3201881	11	11	11	11	D55
SRR3201885	11	11	11	11	D56
SRR3201888	3	3	3	3	D57
SRR3201892	3	unClustered	2	2	D58
SRR3201896	11	11	11	11	D59
SRR3201899	1	1	1	1	D60
SRR3201905	11	11	11	11	D61
SRR3201907	2	2	2	2	D62
SRR3201912	9	9	9	9	D63
SRR3201915	2	2	2	2	D64
SRR3201918	11	11	11	11	D65
SRR3201923	1	1	1	1	D66
SRR3201927	2	unClustered	2	unClustered	D67
SRR3201928	3	unClustered	2	unClustered	D68
SRR3201932	9	9	9	9	D69
SRR3201935	3	unClustered	2	2	D70
SRR3201937	1	1	1	1	D71
SRR3201960	7	7	7	7	D72
SRR3201963	1	1	1	1	D73
SRR3201966	10	10	10	10	D74
SRR3201969	5	unClustered	7	unClustered	D75
SRR3201974	9	9	9	9	D76
SRR3201975	7	7	7	7	D77
SRR3201979	1	1	1	1	D78
SRR3201989	10	10	10	10	D79
SRR3201990	10	10	10	10	D80
SRR3400376	10	10	10	10	D81
SRR3400380	3	3	3	3	D82
SRR3400388	5	unClustered	5	unClustered	D83
SRR3400392	8	unClustered	10	10	D84
SRR3400395	2	2	2	2	D85
SRR3660084	5	unClustered	10	unClustered	D86
SRR3933894	2	2	2	2	D87
SRR3933895	3	3	3	3	D88
SRR3933903	7	7	7	7	D89
SRR3933904	3	unClustered	3	unClustered	D90
SRR3933911	9	9	9	9	D91
SRR4419424	2	unClustered	2	unClustered	D92
SRR4419430	2	unClustered	2	unClustered	D93
SRR4419439	3	unClustered	3	3	D94
SRR4419441	5	unClustered	10	unClustered	D95
SRR4419445	10	unClustered	10	unClustered	D96
SRR4419449	10	10	10	10	D97
SRR4419456	2	2	2	2	D98
SRR5011254	2	unClustered	2	2	D99
SRR5238668	1	1	1	1	D100
SRR5238677	9	unClustered	9	9	D101
SRR5238689	2	2	2	2	D102
SRR5238692	3	unClustered	3	3	D103
SRR5238693	2	2	2	2	D104
SRR5238709	3	unClustered	3	unClustered	D105
SRR5238715	5	unClustered	10	unClustered	D106
SRR5238720	2	2	2	2	D107
SRR5238725	5	unClustered	9	9	D108
SRR5275165	2	unClustered	3	3	D109
SRR5275168	10	10	10	10	D110
SRR5275171	10	10	10	10	D111
SRR5489039	8	8	8	8	D112
SRR5489042	2	2	2	2	D113
SRR5489060	1	1	1	1	D114
SRR5489063	2	unClustered	2	2	D115
SRR5489068	9	unClustered	7	unClustered	D116
SRR5489075	7	7	7	7	D117
SRR5489077	8	unClustered	8	8	D118
SRR5489082	10	10	10	10	D119
SRR5535499	10	10	10	10	D120
SRR5535502	8	unClustered	9	9	D121
SRR5861900	8	unClustered	8	8	D122
SRR5861901	10	10	10	10	D123
SRR5861906	10	10	10	10	D124
SRR6248887	9	9	9	9	D125
SRR6248889	2	unClustered	1	1	D126
SRR6248892	9	9	9	9	D127
SRR6248898	7	7	7	7	D128
SRR6248903	5	unClustered	10	10	D129
SRR6248905	3	3	3	3	D130
SRR6337929	3	unClustered	3	unClustered	D131
SRR6337933	4	unClustered	4	4	D132
SRR6337937	5	unClustered	3	3	D133
SRR7235937	2	unClustered	2	unClustered	D134
SRR7235942	3	unClustered	3	unClustered	D135
SRR8522787	10	10	10	10	D136
SRR8522799	2	unClustered	2	unClustered	D137
SRR8522802	10	10	10	10	D138
SRR8522810	10	10	10	10	D139
SRR8522811	7	unClustered	7	7	D140
SRR8522813	10	10	10	10	D141
SRR8522819	10	10	10	10	D142
SRR8522822	10	10	10	10	D143
SRR8522824	9	unClustered	9	9	D144
SRR8522828	10	10	10	10	D145
SRR8522831	2	unClustered	1	1	D146
SRR8522832	10	10	10	10	D147
SRR8522833	10	10	10	10	D148
SRR8522835	5	unClustered	5	5	D149
SRR8522839	10	10	10	10	D150
SRR8522841	10	10	10	10	D151
SRR8522846	10	10	10	10	D152
SRR10910957	3	3	3	3	D153
SRR10910963	10	10	10	10	D154
SRR10910967	3	unClustered	3	3	D155
SRR10910971	3	unClustered	2	2	D156
SRR10910973	3	unClustered	3	unClustered	D157
SRR10910981	5	unClustered	3	3	D158
SRR10910985	3	unClustered	3	unClustered	D159
SRR10910988	8	unClustered	8	8	D160
SRR10910993	3	unClustered	3	unClustered	D161
SRR10910998	3	3	3	3	D162
SRR10910999	5	unClustered	3	3	D163
SRR10911002	3	unClustered	3	3	D164
SRR10911006	3	unClustered	7	unClustered	D165
SRR10911008	5	unClustered	5	unClustered	D166
SRR10911014	8	8	8	8	D167
SRR10911018	8	8	8	8	D168
SRR10911024	3	unClustered	3	3	D169
SRR10911025	3	3	3	3	D170
SRR10911026	10	10	10	10	D171
SRR10911031	7	unClustered	7	unClustered	D172
SRR10911032	3	3	3	3	D173
SRR10911036	10	unClustered	8	8	D174
SRR10911046	3	unClustered	3	unClustered	D175
SRR10911047	8	8	8	8	D176
SRR10911052	3	unClustered	3	3	D177
SRR6178107	8	8	8	8	D178
SRR6178108	5	unClustered	6	6	D179
SRR6178113	8	8	8	8	D180
SRR6178128	4	4	4	4	D181
SRR6178134	4	unClustered	3	3	D182
SRR6178139	8	unClustered	8	8	D183
SRR6113234	1	1	1	1	D184
SRR6113236	3	unClustered	2	2	D185
SRR6113237	5	unClustered	3	3	D186
SRR6113241	3	unClustered	2	2	D187
SRR6113247	5	unClustered	5	5	D188
SRR6113250	5	unClustered	5	5	D189
SRR6113254	3	unClustered	3	3	D190
SRR6113260	4	4	4	4	D191
