.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
deltaDistance	1	2	40	34	0.6439597705192426	0.5196015214257301	0.6724254983156508	ns	0.04182968209294216
deltaDistance	1	3	40	29	-1.0367328578098787	0.29986037434002855	0.4827020660107777	ns	-0.0673430357653045
deltaDistance	1	4	40	9	-1.3012547806375308	0.1931712598710371	0.33747438005977864	ns	-0.08452558108109737
deltaDistance	1	5	40	13	-2.6404512506073483	0.008279570327816232	0.036430109442391424	*	-0.17151573972665815
deltaDistance	1	6	40	6	-0.27846865742595733	0.7806526216357476	0.8446405414419564	ns	-0.018088483079593466
deltaDistance	1	7	40	13	-1.2979531602576235	0.1943034309435089	0.33747438005977864	ns	-0.0843111177912994
deltaDistance	1	8	40	19	-3.0761401712541954	0.002096992383114353	0.012581954298686117	*	-0.19981677633858752
deltaDistance	1	9	40	11	-1.4304407096200378	0.15259057125451347	0.30518114250902695	ns	-0.0929171089180963
deltaDistance	1	10	40	19	-6.784673430402987	1.1634939153013572e-11	3.8395299204944785e-10	****	-0.4407118979953544
deltaDistance	1	11	40	5	-2.55913074126056	0.01049342688241225	0.043285385889950526	*	-0.1662334050074109
deltaDistance	1	unClustered	40	39	-1.4907142887851452	0.13603652300754143	0.2896261457579914	ns	-0.09683229860928974
deltaDistance	2	3	34	29	-1.5945564129848588	0.1108114661315264	0.264995521638127	ns	-0.10357756941965016
deltaDistance	2	4	34	9	-1.6813765493408555	0.09268979757537778	0.23528948615288203	ns	-0.10921714330189582
deltaDistance	2	5	34	13	-3.0457417296861817	0.0023210711716729333	0.012765891444201134	*	-0.19784218537013992
deltaDistance	2	6	34	6	-0.6145449207548032	0.5388552985262036	0.6764588093288607	ns	-0.03991898227784961
deltaDistance	2	7	34	13	-1.7313883527660854	0.08338252256848938	0.22012985958081197	ns	-0.11246575902906346
deltaDistance	2	8	34	19	-3.516714916439112	4.369227820663182e-4	0.0036046129520471253	**	-0.22843518135852248
deltaDistance	2	9	34	11	-1.837017712421499	0.06620728062251714	0.19862184186755144	ns	-0.11932712325761502
deltaDistance	2	10	34	19	-7.124159863784494	1.0471744657506397e-12	6.911351473954222e-11	****	-0.46276391154235735
deltaDistance	2	11	34	5	-2.8480196022644204	0.004399221481111999	0.020739186982385138	*	-0.18499875304497523
deltaDistance	2	unClustered	34	39	-2.069936173473707	0.03845832190221801	0.1490024799040081	ns	-0.13445680313115002
deltaDistance	3	4	29	9	-0.5955047792850501	0.5515061053838137	0.6764588093288607	ns	-0.038682192184514706
deltaDistance	3	5	29	13	-1.7680310140040594	0.0770557189797371	0.21190322719427704	ns	-0.11484595565126539
deltaDistance	3	6	29	6	0.29194585407233364	0.7703280234088249	0.8446405414419564	ns	0.018963921075925788
deltaDistance	3	7	29	13	-0.48393951901048593	0.6284287928322483	0.7406482201237212	ns	-0.031435249776701805
deltaDistance	3	8	29	19	-2.0472143816398334	0.04063703997382039	0.1490024799040081	ns	-0.13298086414783963
deltaDistance	3	9	29	11	-0.6612403812680098	0.5084581683721956	0.6711647822512982	ns	-0.042952178383991464
deltaDistance	3	10	29	19	-5.5480890935004	2.888087064863436e-8	4.765343657024669e-7	****	-0.3603871136504584
deltaDistance	3	11	29	5	-1.9846855434984751	0.047179468206364816	0.1638865737694778	ns	-0.12891917964387592
