terms	Estimate	Std. Error	df	t value	Pr(>|t|)
(Intercept)	13.177096509720716	1.154528843593137	447.99999999571975	11.413397406955045	1.164633911399218e-26
day_relative_to_fmt2	0.2650874625560954	0.03706897056820415	447.9999999921504	7.151195689892552	3.525758795596675e-12
unNeighborClusters2	2.22450608847762	1.6908301004262265	447.9999999933877	1.315629576216359	0.18897126945010662
unNeighborClusters3	5.1857455405299575	1.8113965779748367	447.9999999939353	2.8628438430239744	0.0043954705656708256
unNeighborClusters4	0.3225873357925	2.69094705251101	447.9999999960031	0.11987873767025005	0.904632947877141
unNeighborClusters5	9.052491224843658	2.2384648596171104	447.999999993062	4.044062244690358	6.185036438300519e-5
unNeighborClusters6	5.405049932013186	3.2324371728101453	447.999999991801	1.6721283796257862	0.09519722034662415
unNeighborClusters7	3.9593093286478807	2.2951005226745758	447.99999999174344	1.7251136887171867	0.08519662956943057
unNeighborClusters8	4.450845753554398	2.0253076269891888	447.999999992664	2.1976146706024116	0.028487652721939875
unNeighborClusters9	5.955985125127127	2.491702093454051	447.99999999274064	2.390327937185626	0.017245527883448932
unNeighborClusters10	14.961922284073907	2.070741029171677	447.9999999938655	7.225395195872884	2.166242984484971e-12
unNeighborClusters11	83.04308104758542	3.6361856583741248	447.99999999320113	22.83796506824052	4.000754432310327e-77
unNeighborClustersunClustered	4.804854838334122	1.6621762284228008	447.999999993935	2.890701212165291	0.004030643001350112
day_relative_to_fmt2:unNeighborClusters2	-0.024964365333856844	0.05456318917080801	447.9999999937661	-0.45753127178301173	0.6475110337794332
day_relative_to_fmt2:unNeighborClusters3	-0.06892862005612192	0.0551845766844965	447.9999999943693	-1.2490558811423602	0.21229687644753029
day_relative_to_fmt2:unNeighborClusters4	-0.08139844459708837	0.08036282001181035	447.9999999922695	-1.0128868621724054	0.31166092440453014
day_relative_to_fmt2:unNeighborClusters5	-0.14867698248627872	0.07527002444674834	447.99999999137714	-1.9752482290139812	0.048853380287762545
day_relative_to_fmt2:unNeighborClusters6	-0.0862524891480023	0.08351571393769265	447.99999999337945	-1.0327695840851152	0.30226893311493425
day_relative_to_fmt2:unNeighborClusters7	-0.11381688755937933	0.07482324228665622	447.9999999919772	-1.5211434853803056	0.12892929770949377
day_relative_to_fmt2:unNeighborClusters8	-0.011211808097413753	0.0790205937883021	447.9999999960236	-0.14188463487695918	0.8872349132148216
day_relative_to_fmt2:unNeighborClusters9	-0.06476089210283312	0.07539793243651198	447.9999999955632	-0.8589213259576359	0.39084325401934505
day_relative_to_fmt2:unNeighborClusters10	-0.3337583143603091	0.07709367743099715	447.9999999933452	-4.32925663273801	1.8472802381711734e-5
day_relative_to_fmt2:unNeighborClusters11	-1.4493988490868335	0.10222334300404755	447.9999999955172	-14.17874632635957	5.839433328098027e-38
day_relative_to_fmt2:unNeighborClustersunClustered	-0.06320143552035623	0.053489765355187416	447.9999999946884	-1.1815612781376126	0.23800664674357566
