contrast	day_relative_to_fmt2	estimate	SE	df	t.ratio	p.value
1 - 2	-1	-2.249470453811477	1.7237535436488756	353.543930641144	-1.3049838024116565	0.30288827522801887
1 - 3	-1	-5.254674160586079	1.8462428927887125	373.8535367435558	-2.8461445572034134	0.013398369311818932
1 - 4	-1	-0.4039857803895883	2.740267390295624	356.14303581214733	-0.14742567890281896	0.903034245617617
1 - 5	-1	-9.201168207329937	2.2801961031329743	326.9135551334632	-4.035253018232771	2.3610649749859704e-4
1 - 6	-1	-5.491302421161188	3.284945074504413	366.6475443712392	-1.6716573022121655	0.1799821818168353
1 - 7	-1	-4.07312621620726	2.3394142157277544	347.2054747360325	-1.741088084711059	0.17026744738638738
1 - 8	-1	-4.462057561651812	2.0726707948629346	357.74886196423347	-2.1528057290674987	0.07543350216265628
1 - 9	-1	-6.0207460172299605	2.538244973140941	359.48668893912986	-2.3720114019489666	0.04624442181721485
1 - 10	-1	-15.295680598434217	2.1192146216415093	375.6310960552131	-7.21761752784927	1.623649490574645e-11
1 - 11	-1	-84.49247989667225	3.7037400850365674	402.4681274725626	-22.812745483418027	1.0327600291342337e-72
1 - unClustered	-1	-4.868056273854478	1.695226077881029	364.67081286894063	-2.871626585605249	0.012966638534340958
2 - 3	-1	-3.0052037067746027	1.8995546700296384	366.9031193294558	-1.5820569706097025	0.19886523492314243
2 - 4	-1	1.8454846734218888	2.7764654681043965	353.265807232213	0.664688502206323	0.6688220907743089
2 - 5	-1	-6.95169775351846	2.323572549760686	323.85676737782137	-2.9918143740484644	0.009385102309646455
2 - 6	-1	-3.241831967349711	3.315201240915757	364.47346486539334	-0.9778688326185051	0.4520832304344966
2 - 7	-1	-1.8236557623957828	2.3817124087529287	343.5816751904946	-0.7656910026977833	0.598560541996469
2 - 8	-1	-2.2125871078403345	2.1202969955023576	352.7471304961536	-1.0435269740671924	0.4267314728087185
2 - 9	-1	-3.7712755634184836	2.5772820313139637	356.0597836546666	-1.463276241248534	0.23805208679909282
2 - 10	-1	-13.04621014462274	2.165817567995453	370.2421681851127	-6.023688392507365	2.0889901445513865e-8
2 - 11	-1	-82.24300944286077	3.7306012575408345	400.5114411020545	-22.045510566592778	1.3994065901288727e-69
2 - unClustered	-1	-2.618585820043001	1.753136212730338	356.9617199775038	-1.4936579377165509	0.23040501641011413
3 - 4	-1	4.850688380196491	2.8541280692195548	361.8722131822037	1.699534240424917	0.1799821818168353
3 - 5	-1	-3.946494046743857	2.415838557091958	338.227391996929	-1.6335917957590722	0.1893375978954451
3 - 6	-1	-0.2366282605751086	3.380509696436346	370.08485867845434	-0.0699978056044497	0.9442332134056659
3 - 7	-1	1.1815479443788195	2.4718091629287353	355.8417126701433	0.4780093714754486	0.7881857601117517
3 - 8	-1	0.792616598934268	2.2210236129017407	366.9528710587692	0.35686995596535953	0.8502146974609706
3 - 9	-1	-0.7660718566438811	2.660764778943191	365.74259676137416	-0.2879141601341218	0.8653556722792418
3 - 10	-1	-10.041006437848138	2.2645203195751007	381.98440259196343	-4.434054466657276	4.9934092829049474e-5
3 - 11	-1	-79.23780573608617	3.788756033673326	403.37441700895107	-20.9139371951755	4.222553853541055e-65
3 - unClustered	-1	0.38661788673160136	1.8737057187075163	376.1562064556521	0.20633863838462888	0.903034245617617
4 - 5	-1	-8.79718242694035	3.1522576806277924	339.41086292180756	-2.7907561240959	0.015278627554798262
4 - 6	-1	-5.0873166407716	3.940596193324674	362.5427922590011	-1.2910017650094312	0.3031789231829816
4 - 7	-1	-3.6691404358176714	3.1953549238047425	349.9397407374047	-1.14827320385705	0.3774601872147917
4 - 8	-1	-4.058071781262224	3.005561252114463	355.3095414375875	-1.3501876823862107	0.2862391228301507
4 - 9	-1	-5.616760236840372	3.343668907055447	356.78308725449983	-1.6798195015626383	0.1799821818168353
4 - 10	-1	-14.891694818044629	3.0378454254476597	364.1797568460842	-4.902058114378935	6.745105076359815e-6
4 - 11	-1	-84.08849411628266	4.29594283409833	390.66897990322315	-19.573932280672885	5.645757399112006e-59
4 - unClustered	-1	-4.46407049346489	2.7588449886613793	357.48585702614935	-1.6180939892642914	0.19001627698133405
