unNeighborClusters	medianDysDist	mean	minimum	maximum	IQR	sd	n
1	0	0.045116021057870104	0	0.38140985322881565	0.06053533261493535	0.08749650998350558	47
2	0	0.03997477721782339	0	0.27652772908639583	0.03937889713018127	0.07021681941962891	49
3	0.03327721425825756	0.09915615943122584	0	0.5683046702736034	0.16011035876141488	0.13636537235091045	35
4	0.05365036057743547	0.08783309233133611	0	0.30262040039205934	0.14413970112417315	0.10188531186203166	14
5	0.3537927357826954	0.37701360557511154	0.15139321244355966	0.819850923180811	0.26762088008150364	0.18116688609810092	15
6	0.20118151790710248	0.27323402043686074	0	0.6589057460118282	0.494544027730743	0.2513059625138998	14
7	0.07734528773683778	0.10615250001679424	0	0.4183581840659361	0.09879475647516364	0.11425797464030024	14
8	0.21076994093852244	0.2514592417984548	0	0.6099992194352151	0.29310126788948715	0.19394016289559068	21
9	0.10232719429595026	0.1397366436558177	0.00563070343987497	0.5461740830228088	0.13534319796121264	0.13539862671304492	15
10	0.834344691985668	0.8037223630912984	0.5331961493234173	0.9879237497598372	0.2061594830227702	0.13968485836680974	28
11	0.3908555940097672	0.40168175617810503	0.387282705128219	0.4223617207852698	0.026378442082803044	0.016661633626478715	5
unClustered	0.05445419961313266	0.1667610667020223	0	0.9408114062720336	0.2273232748425356	0.23100209761538654	48
