.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif
NormedDelta	fricke	Hamilton 2013	5	3	0.08255264552677392	0.9342072560793448	0.9715755463225186	ns
NormedDelta	fricke	Hazleton	5	16	2.081406514391739	0.03739671291127839	0.09723145356932382	ns
NormedDelta	fricke	hong kong	5	3	-0.350182996347445	0.7262013668217077	0.8091958087441886	ns
NormedDelta	fricke	hourigan_2015	5	8	1.379680106462175	0.1676851606960041	0.26692739865894527	ns
NormedDelta	fricke	Initial FMT	5	6	-0.7595635147439608	0.44751553494396273	0.5817701954271516	ns
NormedDelta	fricke	khanna_kashyap	5	36	3.3310305460658585	8.65251072311145e-4	0.008436197955033663	**
NormedDelta	fricke	Mintz UC	5	14	2.714050747140768	0.006646598359156315	0.02910859381650997	*
NormedDelta	fricke	Seekatz Bile	5	6	2.8616113811284105	0.004214933743065496	0.025289602458392978	*
NormedDelta	fricke	seekatz_454	5	13	0.10319350510395482	0.9178093945695118	0.9674207131948908	ns
NormedDelta	fricke	Staley combo	5	114	1.3850348395452594	0.16604181453986994	0.26692739865894527	ns
NormedDelta	fricke	Staley RI FMT trial	5	9	1.9095331988667519	0.05619334325233702	0.12175224371339687	ns
NormedDelta	fricke	weingarden	5	4	2.4145835356666323	0.01575321019527291	0.051197933134636955	ns
NormedDelta	Hamilton 2013	Hazleton	3	16	1.599159161896375	0.10978524183716554	0.20885972837314418	ns
NormedDelta	Hamilton 2013	hong kong	3	3	-0.38705052460710326	0.6987188040571528	0.8014715693596752	ns
NormedDelta	Hamilton 2013	hourigan_2015	3	8	1.0727434484008518	0.28338624033595766	0.4170589952114094	ns
NormedDelta	Hamilton 2013	Initial FMT	3	6	-0.7357113393597835	0.4619063873544391	0.5906343969450205	ns
NormedDelta	Hamilton 2013	khanna_kashyap	3	36	2.545211978077014	0.01092114180572519	0.038720411856662036	*
NormedDelta	Hamilton 2013	Mintz UC	3	14	2.1277600862134696	0.03335698023355501	0.09292301636490324	ns
NormedDelta	Hamilton 2013	Seekatz Bile	3	6	2.3652775770071552	0.018016561793357505	0.05621167279527542	ns
NormedDelta	Hamilton 2013	seekatz_454	3	13	-0.009342381906357099	0.992545966147421	0.9974784860830629	ns
NormedDelta	Hamilton 2013	Staley combo	3	114	0.9788997992731382	0.327629491386337	0.45634107728811224	ns
NormedDelta	Hamilton 2013	Staley RI FMT trial	3	9	1.5071982045580707	0.1317598603488603	0.23357429789116146	ns
NormedDelta	Hamilton 2013	weingarden	3	4	2.0418175967697816	0.041169628085716385	0.1003509684589337	ns
NormedDelta	Hazleton	hong kong	16	3	-2.101462251105747	0.035600408339675135	0.09575282243085037	ns
NormedDelta	Hazleton	hourigan_2015	16	8	-0.6463201349056037	0.5180720507061185	0.6414225389694801	ns
NormedDelta	Hazleton	Initial FMT	16	6	-3.1884245606909487	0.0014305033112144805	0.011157925827472947	*
NormedDelta	Hazleton	khanna_kashyap	16	36	1.7418689126786668	0.08153138477471249	0.16735389506388354	ns
NormedDelta	Hazleton	Mintz UC	16	14	0.9497818408123697	0.3422231147385817	0.4683053149054276	ns
NormedDelta	Hazleton	Seekatz Bile	16	6	1.3920396300209537	0.16391039760295326	0.26692739865894527	ns
NormedDelta	Hazleton	seekatz_454	16	13	-2.710540334140005	0.0067173678038099935	0.02910859381650997	*
NormedDelta	Hazleton	Staley combo	16	114	-1.6240123556259325	0.1043731716018358	0.2035276846235798	ns
NormedDelta	Hazleton	Staley RI FMT trial	16	9	-0.003160254299879604	0.9974784860830629	0.9974784860830629	ns
NormedDelta	Hazleton	weingarden	16	4	0.9898596619650918	0.3222427183099291	0.45634107728811224	ns
NormedDelta	hong kong	hourigan_2015	3	8	1.539543944776118	0.12367155824103773	0.2296757510190701	ns
NormedDelta	hong kong	Initial FMT	3	6	-0.2887838902159898	0.7727467608717536	0.837142324277733	ns
NormedDelta	hong kong	khanna_kashyap	3	36	3.0711100821565034	0.002132645080932654	0.015122392392067911	*
NormedDelta	hong kong	Mintz UC	3	14	2.624492174067307	0.008677828681755803	0.03373009291281952	*
NormedDelta	hong kong	Seekatz Bile	3	6	2.8122050261509495	0.004920312958811369	0.027413172199091913	*
NormedDelta	hong kong	seekatz_454	3	13	0.4840521625231289	0.6283488500835972	0.7425940955533422	ns
NormedDelta	hong kong	Staley combo	3	114	1.5192087387602111	0.12870996236810392	0.2334738852258629	ns
NormedDelta	hong kong	Staley RI FMT trial	3	9	1.9812363495400447	0.047564774617416455	0.11039143949010423	ns
NormedDelta	hong kong	weingarden	3	4	2.455592012327181	0.014065274036219117	0.047699624992395266	*
NormedDelta	hourigan_2015	Initial FMT	8	6	-2.3080273372903997	0.020997616054936972	0.06065977971426236	ns
NormedDelta	hourigan_2015	khanna_kashyap	8	36	2.054993865830845	0.03987959720119796	0.10034221231269164	ns
NormedDelta	hourigan_2015	Mintz UC	8	14	1.4157167580439618	0.15685844987205072	0.26692739865894527	ns
NormedDelta	hourigan_2015	Seekatz Bile	8	6	1.7521202165583387	0.07975313868935091	0.16735389506388354	ns
NormedDelta	hourigan_2015	seekatz_454	8	13	-1.6295110325141824	0.10320488128281921	0.2035276846235798	ns
NormedDelta	hourigan_2015	Staley combo	8	114	-0.4202192875876154	0.674325265933955	0.7850353842216193	ns
NormedDelta	hourigan_2015	Staley RI FMT trial	8	9	0.5732471684922231	0.5664773513153771	0.6903942719156159	ns
NormedDelta	hourigan_2015	weingarden	8	4	1.3606314595803555	0.17363018456683663	0.27086308792426517	ns
NormedDelta	Initial FMT	khanna_kashyap	6	36	4.648302017197568	3.3467864004478374e-6	8.701644641164377e-5	****
NormedDelta	Initial FMT	Mintz UC	6	14	3.8404067538580353	1.228306219891242e-4	0.0022762777241969183	**
NormedDelta	Initial FMT	Seekatz Bile	6	6	3.7979202715625706	1.459152387305717e-4	0.0022762777241969183	**
NormedDelta	Initial FMT	seekatz_454	6	13	1.0419299478469584	0.2974441582534921	0.42964156192171077	ns
