Top_Phylum	Top_Genus	group	hex
Verrucomicrobia	Akkermansia	Verrucomicrobia-Akkermansia	#7D3560
Verrucomicrobia	Candidatus Udaeobacter	Verrucomicrobia-Candidatus Udaeobacter	#A1527F
Verrucomicrobia	uncultured	Verrucomicrobia-uncultured	#CC79A7
Verrucomicrobia	Candidatus Xiphinematobacter	Verrucomicrobia-Candidatus Xiphinematobacter	#E794C1
Verrucomicrobia	Other	Verrucomicrobia-Other	#EFB6D6
Firmicutes	Unknown	Firmicutes-Unknown	#148F77
Firmicutes	Faecalibacterium	Firmicutes-Faecalibacterium	#009E73
Firmicutes	Blautia	Firmicutes-Blautia	#43BA8F
Firmicutes	Agathobacter	Firmicutes-Agathobacter	#48C9B0
Firmicutes	Lactobacillus	Firmicutes-Lactobacillus	#A3E4D7
Firmicutes	Veillonella	Firmicutes-Veillonella	#6a51a3
Firmicutes	Enterococcus	Firmicutes-Enterococcus	#807dba
Firmicutes	Streptococcus	Firmicutes-Streptococcus	#9e9ac8
Firmicutes	Erysipelatoclostridium	Firmicutes-Erysipelatoclostridium	#bcbddc
Firmicutes	Other	Firmicutes-Other	#dadaeb
Bacteroidetes	Bacteroides	Bacteroidetes-Bacteroides	#098BD9
Bacteroidetes	Prevotella 9	Bacteroidetes-Prevotella 9	#56B4E9
Bacteroidetes	Alistipes	Bacteroidetes-Alistipes	#7DCCFF
Bacteroidetes	Parabacteroides	Bacteroidetes-Parabacteroides	#BCE1FF
Bacteroidetes	Other	Bacteroidetes-Other	#E7F4FF
Actinobacteria	Bifidobacterium	Actinobacteria-Bifidobacterium	#9D654C
Actinobacteria	Collinsella	Actinobacteria-Collinsella	#C17754
Actinobacteria	Unknown	Actinobacteria-Unknown	#F09163
Actinobacteria	Eggerthella	Actinobacteria-Eggerthella	#FCB076
Actinobacteria	Other	Actinobacteria-Other	#FFD5AF
Proteobacteria	Unknown	Proteobacteria-Unknown	#4E7705
Proteobacteria	Escherichia-Shigella	Proteobacteria-Escherichia-Shigella	#6D9F06
Proteobacteria	Parasutterella	Proteobacteria-Parasutterella	#97CE2F
Proteobacteria	Sutterella	Proteobacteria-Sutterella	#BDEC6F
Proteobacteria	Enterobacter	Proteobacteria-Enterobacter	#DDFFA0
Proteobacteria	Proteus	Proteobacteria-Proteus	#238b45
Proteobacteria	Bilophila	Proteobacteria-Bilophila	#41ab5d
Proteobacteria	Haemophilus	Proteobacteria-Haemophilus	#74c476
Proteobacteria	Morganella	Proteobacteria-Morganella	#a1d99b
Proteobacteria	Other	Proteobacteria-Other	#c7e9c0
Other	Unknown	Other-Unknown	#616161
Other	Fusobacterium	Other-Fusobacterium	#8B8B8B
Other	Cloacibacillus	Other-Cloacibacillus	#B7B7B7
Other	Cetobacterium	Other-Cetobacterium	#D6D6D6
Other	Other	Other-Other	#F5F5F5
