DysbioClusters	lowList	size	max_diss	av_diss	diameter	separation	TotalAvgSW
2	0.5	152.5	1.801	0.8642	2.3713	0.2567	0.259170697964436
3	0.6666666666666666	101.6667	1.4749	0.729	2.0217	0.2538	0.15315377922859758
4	0.5	76.25	1.4243	0.7436	1.935	0.3187	0.14692249742990354
5	0.4	61	1.3929	0.6991	1.8928	0.3567	0.16170718400313602
6	0.3333333333333333	50.8333	1.3443	0.6963	1.8554	0.4106	0.16901986637004482
7	0.42857142857142855	43.5714	1.2893	0.6594	1.7772	0.378	0.13803873318062695
8	0.375	38.125	1.2672	0.6507	1.7501	0.3689	0.13908754281609478
9	0.3333333333333333	33.8889	1.2039	0.6446	1.641	0.3694	0.14997409865541517
10	0.3	30.5	1.1866	0.6303	1.6333	0.3334	0.15494487667372
11	0.18181818181818182	27.7273	1.1057	0.6074	1.5298	0.3773	0.16528860812390805
12	0.25	25.4167	1.0932	0.6134	1.486	0.3978	0.16468571553278216
13	0.38461538461538464	23.4615	1.0457	0.607	1.4357	0.393	0.1626841426103536
14	0.42857142857142855	21.7857	1.0385	0.5924	1.392	0.3923	0.15821391406229954
15	0.4	20.3333	1.0308	0.5878	1.3623	0.3951	0.15510937373952988
16	0.375	19.0625	1.0061	0.5813	1.3268	0.4166	0.1624537822084341
