.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
dysbiosis_dist	1	2	40	34	0.15176970615453692	0.879368576290377	0.9068488442994513	ns	0.009858501804646232
dysbiosis_dist	1	3	40	29	2.0625586032652996	0.03915458426697337	0.08336137295549169	ns	0.1339775784488578
dysbiosis_dist	1	4	40	9	0.8929333880215651	0.3718928458164037	0.4812730945859342	ns	0.05800225644685628
dysbiosis_dist	1	5	40	13	5.376080893505221	7.612460098994362e-8	1.0048447330672557e-6	****	0.34921398040119345
dysbiosis_dist	1	6	40	6	2.2742949542880386	0.022948258339997616	0.05409232322999438	ns	0.1477313324196365
dysbiosis_dist	1	7	40	13	1.8887009328001962	0.058931913573993217	0.11786382714798643	ns	0.12268430918281215
dysbiosis_dist	1	8	40	19	4.062711046871835	4.850605877190005e-5	3.5571109766060035e-4	***	0.26390144121752235
dysbiosis_dist	1	9	40	11	2.8483209408696317	0.004395057771989162	0.0157437951117791	*	0.18501832709080135
dysbiosis_dist	1	10	40	19	8.110775410141214	5.029774650556485e-16	3.3196512693672805e-14	****	0.5268514780976081
dysbiosis_dist	1	11	40	5	3.840614365565231	1.2272677975018597e-4	7.73965545900933e-4	***	0.2494747114771509
dysbiosis_dist	1	unClustered	40	39	2.7955801474975033	0.005180665440985806	0.01709619595525316	*	0.18159244441756103
dysbiosis_dist	2	3	34	29	1.8500223443478552	0.06431032917254884	0.12483769780553597	ns	0.12017186487676396
dysbiosis_dist	2	4	34	9	0.7843641955636264	0.4328264411441902	0.5101168770627956	ns	0.05094992955702408
dysbiosis_dist	2	5	34	13	5.154808430234369	2.538903502951799e-7	2.792793853246979e-6	****	0.3348407893754889
dysbiosis_dist	2	6	34	6	2.168613919877946	0.030112007481458397	0.06853077564745705	ns	0.14086661155506605
dysbiosis_dist	2	7	34	13	1.740539418676917	0.08176434471826907	0.14584991220015564	ns	0.11306018463666469
dysbiosis_dist	2	8	34	19	3.8283709117863105	1.289942576501555e-4	7.73965545900933e-4	***	0.24867941369188876
dysbiosis_dist	2	9	34	11	2.6935527776895727	0.0070694951874757	0.020286377494495487	*	0.1749650545723793
dysbiosis_dist	2	10	34	19	7.766091922587451	8.094481742117138e-15	2.671178974898656e-13	****	0.5044618796053998
dysbiosis_dist	2	11	34	5	3.729592629139791	1.9178959246889322e-4	0.0010548427585789126	**	0.24226307473726888
dysbiosis_dist	2	unClustered	34	39	2.5303431141016284	0.01139510324377365	0.03008307256356244	*	0.16436344767871428
dysbiosis_dist	3	4	29	9	-0.4549839854032396	0.6491207601692823	0.7261350876469937	ns	-0.02955438575215879
dysbiosis_dist	3	5	29	13	3.635069470522316	2.7790573766592455e-4	0.001410906052765463	**	0.2361231357901486
dysbiosis_dist	3	6	29	6	1.0984279234967238	0.27201767477493294	0.3740243028155328	ns	0.07135056092841063
dysbiosis_dist	3	7	29	13	0.299411133618625	0.764626368199475	0.8207675817308063	ns	0.01944884309194632
dysbiosis_dist	3	8	29	19	2.1308772813346537	0.03309925348063477	0.0728183576573965	ns	0.1384153534706528
dysbiosis_dist	3	9	29	11	1.3179168243912271	0.1875314929724099	0.26906692469954463	ns	0.08560789712806693
dysbiosis_dist	3	10	29	19	5.952271123871344	2.644468096087174e-9	5.8178298113917834e-8	****	0.3866415578131179
dysbiosis_dist	3	11	29	5	2.723318871946946	0.006462964417780612	0.020286377494495487	*	0.17689857016906094
dysbiosis_dist	3	unClustered	29	39	0.51413165357976	0.6071599481244672	0.690906147865773	ns	0.033396439665507635
dysbiosis_dist	4	5	9	13	3.198362320925958	0.001382105111976718	0.005365819846497847	**	0.2077559581004598
dysbiosis_dist	4	6	9	6	1.2641179022452238	0.20618771193677587	0.2895401912303661	ns	0.08211328160496413
dysbiosis_dist	4	7	9	13	0.630822895189456	0.5281563315195201	0.6115494364962865	ns	0.040976350341648905
dysbiosis_dist	4	8	9	19	1.9832841336568932	0.047335700663247965	0.09762988261794893	ns	0.1288281482924795
dysbiosis_dist	4	9	9	11	1.4245573093879187	0.15428520781380736	0.23680985385375083	ns	0.09253494100543828
dysbiosis_dist	4	10	9	19	4.770596606905426	1.8368106411059235e-6	1.731850033042728e-5	****	0.3098835495571684
dysbiosis_dist	4	11	9	5	2.675515595090342	0.007461440173836537	0.020518960478050477	*	0.17379341365858464
dysbiosis_dist	4	unClustered	9	39	0.8103648587135619	0.4177305086392738	0.5101168770627956	ns	0.05263885411964159
dysbiosis_dist	5	6	13	6	-1.4601500558215266	0.14424883814571948	0.2266767456575592	ns	-0.09484693833243284
dysbiosis_dist	5	7	13	13	-2.8385216365375165	0.004532304653390953	0.0157437951117791	*	-0.18438179387287398
dysbiosis_dist	5	8	13	19	-1.623518494262482	0.10447861311518729	0.18146285435795687	ns	-0.1054588587610885
dysbiosis_dist	5	9	13	11	-1.8224574292054305	0.06838560749517913	0.1289557169909092	ns	-0.11838133122837032
dysbiosis_dist	5	10	13	19	1.5100565960141177	0.13102898342195934	0.2161978226462329	ns	0.09808871647787733
