.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
FaithPD	1	2	40	34	2.0163767245060926	0.04376059748335701	0.08022776205282119	ns	0.1309777430625653
FaithPD	1	3	40	29	4.64596932298457	3.3848330421772573e-6	2.481052114215067e-5	****	0.3017881375373884
FaithPD	1	4	40	9	0.9791489012331067	0.3275064123650608	0.44113108604273493	ns	0.06360255583545121
FaithPD	1	5	40	13	5.704888291737398	1.1641941383260161e-8	2.483642234268845e-7	****	0.37057231607295327
FaithPD	1	6	40	6	2.6741754923670187	0.007491323818087401	0.018312124888658094	*	0.1737063646324579
FaithPD	1	7	40	13	3.318626263714424	9.04614147075407e-4	0.003142343879314572	**	0.21556794065649587
FaithPD	1	8	40	19	4.639502977709775	3.4924810386485965e-6	2.481052114215067e-5	****	0.30136810327510866
FaithPD	1	9	40	11	3.5991132032270365	3.193041796690239e-4	0.0014049383905437053	**	0.23378752524572338
FaithPD	1	10	40	19	8.747525389827642	2.180823115738008e-18	1.4393432563870854e-16	****	0.5682128339498442
FaithPD	1	11	40	5	5.660965406097372	1.505237717738694e-8	2.483642234268845e-7	****	0.3677192180580796
FaithPD	1	unClustered	40	39	4.678160191737431	2.89460376125389e-6	2.481052114215067e-5	****	0.30387915916307484
FaithPD	2	3	34	29	2.6219616459238058	0.008742526910081849	0.020607384859478644	*	0.17031471084046992
FaithPD	2	4	34	9	-0.2910575190492598	0.7710073289074506	0.8740324053906502	ns	-0.018906217515380006
FaithPD	2	5	34	13	4.142906557467218	3.429316966693307e-5	1.7410378446289096e-4	***	0.26911069941509763
FaithPD	2	6	34	6	1.5817275116906462	0.11371178933056338	0.17056768399584507	ns	0.102744242731702
FaithPD	2	7	34	13	1.8066711636938428	0.07081356640687181	0.11684238457133848	ns	0.11735590309137343
FaithPD	2	8	34	19	2.8709500967979116	0.004092401250160915	0.011743412283070452	*	0.18648824872542197
FaithPD	2	9	34	11	2.1765509274136603	0.029514089962209965	0.05902817992441993	ns	0.1413821755967771
FaithPD	2	10	34	19	6.866994801970021	6.556845811222992e-12	2.1637591177035874e-10	****	0.4460592457020713
FaithPD	2	11	34	5	4.624271630266534	3.7591698700228294e-6	2.481052114215067e-5	****	0.30037872094011564
