.y.	group1	group2	n1	n2	statistic	p	p.adj	p.adj.signif	r
NormedDelta	1	2	40	34	0.5679131147689334	0.5700939662823161	0.7259445808875304	ns	0.036889920977582556
NormedDelta	1	3	40	29	-0.708787275805371	0.4784564950708971	0.6786006927724407	ns	-0.046040681073221235
NormedDelta	1	4	40	9	-1.2901629810895192	0.19699407628127089	0.43945632059061374	ns	-0.08380509127696278
NormedDelta	1	5	40	13	-0.1296810982562963	0.8968187376775997	0.9248443232300246	ns	-0.008423692537734975
NormedDelta	1	6	40	6	1.011704673639268	0.31167928022671826	0.5641189833559153	ns	0.06571728050053681
NormedDelta	1	7	40	13	-1.1804845773520225	0.23780754088120518	0.49047805306748565	ns	-0.0766807133719555
NormedDelta	1	8	40	19	-2.3796880950422086	0.017327297400780924	0.09235946709236667	ns	-0.15457735258168623
NormedDelta	1	9	40	11	-1.0955904203011821	0.27325805586484464	0.5462853584854492	ns	-0.0711662452893894
NormedDelta	1	10	40	19	-5.76585999362606	8.124248408216155e-9	2.681001974711331e-7	****	-0.37453285370811007
NormedDelta	1	11	40	5	-1.2822559556691546	0.1997528729957335	0.43945632059061374	ns	-0.08329147478292626
NormedDelta	1	unClustered	40	39	-1.0116199309718978	0.31171981246085756	0.5641189833559153	ns	-0.06571177587276644
NormedDelta	2	3	34	29	-1.2079582677146274	0.2270633150445611	0.4834251223529365	ns	-0.07846532133412844
NormedDelta	2	4	34	9	-1.623139352063527	0.10455961898271048	0.32042926638029917	ns	-0.1054342308287605
NormedDelta	2	5	34	13	-0.53320972767108	0.5938884084686353	0.7395591501684893	ns	-0.034635693747392345
NormedDelta	2	6	34	6	0.7010914466414491	0.48324594788340475	0.6786006927724407	ns	0.04554078325024251
NormedDelta	2	7	34	13	-1.5619837059409973	0.11829182742915542	0.32042926638029917	ns	-0.10146174473163798
NormedDelta	2	8	34	19	-2.777316402189928	0.0054809795348268004	0.0328858772089608	*	-0.1804060866743959
NormedDelta	2	9	34	11	-1.4572242224551717	0.14505449635558715	0.35457765775810196	ns	-0.09465688503225096
NormedDelta	2	10	34	19	-6.0711870116159865	1.2696822397929614e-9	8.379902782633545e-8	****	-0.3943659747843016
NormedDelta	2	11	34	5	-1.5464465203062296	0.12199676645285411	0.32042926638029917	ns	-0.10045249607127942
NormedDelta	2	unClustered	34	39	-1.5348365996275608	0.12482397011248118	0.32042926638029917	ns	-0.0996983506830956
NormedDelta	3	4	29	9	-0.7943969313433632	0.4269643900745971	0.6404465851118957	ns	-0.051601625776883424
NormedDelta	3	5	29	13	0.39387460732877383	0.6936736185308736	0.7759738783565704	ns	0.025584905087720405
NormedDelta	3	6	29	6	1.373005277858746	0.1697507059374241	0.40012666399535685	ns	0.08918627671174824
NormedDelta	3	7	29	13	-0.611212714668813	0.5410587670241253	0.7259445808875304	ns	-0.0397025322329458
NormedDelta	3	8	29	19	-1.6607495270667143	0.09676376190140851	0.32042926638029917	ns	-0.10787727422349726
NormedDelta	3	9	29	11	-0.5651726515934546	0.5719563364568422	0.7259445808875304	ns	-0.03671190876522765
NormedDelta	3	10	29	19	-4.85731343559319	1.189891612161256e-6	1.9633211600660723e-5	****	-0.31551641288524945
NormedDelta	3	11	29	5	-0.8990704450765548	0.36861513931336765	0.6238102357610837	ns	-0.05840090114074683
NormedDelta	3	unClustered	29	39	-0.22342341118024703	0.8232059853099173	0.8624062703246753	ns	-0.01451291010656568
NormedDelta	4	5	9	13	1.0021968663693281	0.31624852097225553	0.5641189833559153	ns	0.065099682051519
NormedDelta	4	6	9	6	1.743499105190432	0.08124647045923626	0.32042926638029917	ns	0.11325243693505792
NormedDelta	4	7	9	13	0.22855608398267824	0.8192139609510534	0.8624062703246753	ns	0.014846313032403222
NormedDelta	4	8	9	19	-0.46226550809064504	0.6438909312068684	0.7627456552511783	ns	-0.030027371477526574
NormedDelta	4	9	9	11	0.22912607184848705	0.818770930020795	0.8624062703246753	ns	0.014883337722943119
NormedDelta	4	10	9	19	-2.7938290215382606	0.005208801076071961	0.0328858772089608	*	-0.18147869656321794
NormedDelta	4	11	9	5	-0.2370935925555799	0.8125841830713427	0.8624062703246753	ns	-0.015400883808124644
NormedDelta	4	unClustered	9	39	0.6715314252091934	0.5018820470627873	0.6900878147113325	ns	0.04362065352199132
NormedDelta	5	6	13	6	0.9813085690631356	0.32644059830734606	0.5669757760074958	ns	0.06374284133602466
NormedDelta	5	7	13	13	-0.8552920658978367	0.3923894787981165	0.6404465851118957	ns	-0.0555571898292258
NormedDelta	5	8	13	19	-1.7270745564717864	0.08415427443726334	0.32042926638029917	ns	-0.11218554784838872
NormedDelta	5	9	13	11	-0.8094187469937199	0.41827432244942586	0.6404465851118957	ns	-0.052577397559345145
NormedDelta	5	10	13	19	-4.348283845799204	1.3720695508504089e-5	1.5092765059354497e-4	***	-0.282451387876289
NormedDelta	5	11	13	5	-1.0771355119528525	0.2814197301288678	0.5462853584854492	ns	-0.06996747017236221
NormedDelta	5	unClustered	13	39	-0.581563273670731	0.5608608869498622	0.7259445808875304	ns	-0.03777659407972361
NormedDelta	6	7	6	13	-1.661025778676751	0.09670826945913549	0.32042926638029917	ns	-0.10789521869387339
